company_id,company_name
2901,ADR Productions
16843,Thelma Film AG
1791,Blue Films
s id 57274,AAC K
57275,Childrens Label
3491,Showbox
14747,Zealous Creative
37352,Oscar Kramer SA
37353,Aura Film
37354,Mojame SA
424,Babelsberg Film GmbH
12514,Slovensk filmov tvorba Koliba SFT
18370,Slovensk film Bratislava
15160,Haxan Films
30023,Court Five
46240,Miscellaneous Entertainment
1314,Hammer Film Productions
5681,Lippert Films
497,Revolution Studios
696,Rogue Marble
6802,Dundee Entertainment
14920,Record Farm Industries
14922,Cinovative
5983,Stefi 2
16975,Lichtblick Film und Fernsehproduktion I
18188,Magnolia Mae Films
30226,European Coproduction Fund
86296,Intrinsica Films
3324,British Broadcasting Corporation BBC
70,American Zoetrope
289,Ingenious Film Partners
2979,ETIC Films
6370,Quinta Communications
16923,Zephyr Films
20394,Young Hannibal Productions
20395,Carthago Films Sarl
28367,RTV Slovenija
58227,Kinetikon Pictures
3989,CP Productions
52741,Virgin Wood Productions
10146,Focus Features
923,Legendary Pictures
10256,Disruption Entertainment
41624,RatPacDune Entertainment
4988,Frank Yablans Presentations
4978,Gaumont British Picture Corporation
11370,Michael De Luca Productions
19551,Marvel Enterprises
20241,Crystal Sky Pictures
20475,GH One
20476,Vengeance Productions Pty Ltd
4688,ConcordeNew Horizons
171,Malpaso Productions
82261,SNPC  Societ Nazionale Produzioni Cinematografiche
10254,Millennium Films
881,Daiei Studios
6530,Lifetime Television
10291,Grand Productions
10292,Hurry Up Productions
10293,Lee Rose Productions
71843,Kimura Productions
942,Fin Aot Productions
6197,London Weekend Television LWT
11858,AE Television Networks
822,Happinet Pictures
945,Cheongeoram
946,CJ Capital Investment
3635,20th Century Fox Home Entertainment
5542,Toei Animation
2744,Nikolaus Geyrhalter Filmproduktion
88541,firstchoicefilms
11358,Little Bird
12745,British Screen Productions
7811,CitFilms
10303,Rapsodie Production
12026,Gold Circle Films
91698,Filmi Domireew
23084,Vertigo
48428,VPK
3388,The Movie Network TMN
7169,Park Ex Pictures
eo Production Tax Credit CPTC id 8582,Canadian Film or V
11573,Corus
11575,Movie Central
13310,Quebec Film and Television Tax Credit
33137,Morag Loves Company
39004,Subotica Entertainment
55424,Irish Film Industry
64744,Mongrel Media
64745,Cogeco Program Development Fund
64751,Newfoundland and Labrador Film Development
284,DNA Films
1728,Sandrews
17593,Filmhuset AS
78362,Scentext
311,Procirep
6426,Dan Wigutow Productions
37714,Regency Television
6431,Northern Lights
15040,Novotny  Novotny Filmproduktion GmbH
16897,CinSud Promotion
26105,Radiotelevizija Federacije Bosne i Hercegovine RTVFBiH
26106,Refresh Production
7977,Rizoma Films
8595,ZDF Productions
13413,Hubert Bals Fund
22625,Fonds Sud Cinma
30553,Artcam International
729,Why Not Productions
40774,Viking Productions
771,Mandate Pictures
1973,Three Strange Angels
3282,Larry Levinson Productions
3693,Alpine Medien Productions
20358,RHI Entertainment
89864,Film International Rotterdam
10221,Walden Media
23890,Hal Lieberman Company
60611,Lauren Levine Productions Inc
10330,Universal International Pictures UI
71447,Gney Film
6332,Dune Entertainment III
10466,Fretboard Pictures
71671,Contemporary Historians Inc
7584,Screen Australia
686,Tiger Aspect Productions
198,GFP Medienfonds
15150,Du MaurierGuinness
1427,Commonwealth United Entertainment
13721,Winkast Film Productions
50411,YasahiMation Productions
86993,Adoor Gopalakrishnan Productions
2159,Hal Roach Studios
449,Virtual Studios
2994,Hollywood Gang Productions
7636,Nimar Studios
78685,Cruel and Unusual Films
28955,Roser Film
50104,This is It Collective
4928,Allied Artists Pictures
14869,E  L Productions
318,CTB Film Company
308,The Weinstein Company
3463,Imagi Animation Studios
30900,Mirage Studios
70995,Imagi Production
431,Donners Company
7505,Marvel Entertainment
9168,Bad Hat Harry Productions
37336,Down Productions
4676,ABSCBN Film Productions
680,Studio Hamburg Filmproduktion
681,Dom Film GmbH
682,Peninsula Films
11561,Recorded Picture Company RPC
20783,Fiction Films
13552,Laundry Films
684,Kim KiDuk Film
10342,Studio Ghibli
12516,Nibariki
20192,Nippon Television Network NTV
18956,Samaritan Entertainment
6841,KMBO
21446,Film and Music Entertainment FME
24908,Zjednoczenie Artystw i Rzemieslnikw
6681,The Klock Worx Co
12934,AirEdel Associates
12935,BBC Arts
10023,Dezenove Som e Imagens Produes
3341,Fuji Television Network
5896,Cine Bazar
7550,Protean Image Group
8165,Televicine SA de CV
eocine SA de CV id 17024,V
794,Agi Orsi Productions
795,Vans Off the Wall
15224,Film Tank
23809,Contravia Films
89301,Punto Guion Punto Producciones
16568,Mulmur Feed Co Production
14254,Harry Langdon Corporation
ad del Cine id 11999,Univers
16813,Alta Definicin Argentina
52436,Revlver Films
16265,Mischief Films
1026,CARTEL SA
1027,Rocabruno SA
68399,Filmi Domirev
6861,Lolafilms
7864,Amiguetes Entertainment
1024,Amiguetes Entertainment SL
14016,Ministero per i Beni e le Attivit Culturali MiBAC
6805,Epix
20235,New Horizons Picture
3458,Clover Productions
21750,Alterian
21751,StarGate Entertainment
21758,Filmtown Productions
21760,Filmtown Entertainment Group
17027,National Film Board of Canada NFB
92032,Fipco Productions
92033,Etoile Productions
31892,Loews Incorporated
7355,Creativity Media
10477,AB Publikfilm
5724,Zagreb Film
10481,Jolly Film
10482,Trio Films
24142,Independent Partners
3307,Ex Nihilo
eo Productions id 3142,IdtV Film  V
8100,Mafilm
14620,Gosteleradio
10556,Colosseo Artistica
1501,Flora Film
10046,Wanda Visin SA
51613,Lita Stantic Producciones
77104,Fortuna Film
77105,Silencio Cine
